"id","name","hiragana","recipes_count"
2562,"切り昆布","きりこんぶ",1
2572,"白醤油","しろしょうゆ",1
2582,"切りゴマ","きりごま",1
2592,"吉野葛","よしのくず",1
2602,"白胡麻ペースト","しろごまぺーすと",1
2612,"ポン酢","ぽんず",2
2622,"もみじおろし","もみじおろし",1
2632,"胡麻","ごま",6
2642,"練り胡麻","ねりごま",1
2652,"椎茸の戻し汁","しいたけのもどしじる",1
2662,"蒟蒻","こんにゃく",4
2672,"枝豆","えだまめ",1
2682,"鯖の切り身","さばのきりみ",1
2692,"冬瓜","とうがん",1
2702,"素麺","そうめん",1
2712,"かけつゆ","かけつゆ",2
2722,"エビ","えび",14
2732,"天ぷら粉","てんぷらこ",2
2742,"打ち粉用の小麦粉","うちこようのこむぎこ",1
2752,"長ねぎの白い部分","ながねぎのしろいぶぶん",2
2762,"かまぼこ","かまぼこ",3
2772,"ごまめ","ごまめ",1
2782,"日本酒","にほんしゅ",2
2792,"三温糖","さんおんとう",2
2802,"煮きり酒","にきりさけ",1
2812,"炒り白ゴマ","ねりしろごま",1
2822,"柿","かき",3
2832,"削り節","けずりぶし",1
2842,"鯛の頭","たいのあたま",2
2852,"本くず粉","ほんくずこ",1
2862,"塩漬け数の子","しおづけかずのこ",1
2872,"鰹節","かつおぶし",6
2882,"出し昆布","だしこんぶ",2
2892,"鰹と昆布出し","かつおとこんぶだし",3
2902,"うすくち","うすくち",1
2912,"ふき","ふき",1
2922,"蛍烏賊","ほたるいか",1
2932,"レモンの絞り汁","れもんのしぼりじる",1
2942,"牡蠣","かき",3
2952,"ねぎ","ねぎ",6
2962,"鰹と昆布だし","かつおとこんぶだし",3
2972,"酢飯","すめし",1
2982,"白煎り胡麻","しろいりごま",1
2992,"銀ダラ","ぎんだら",1
3002,"酒粕","さけかす",1
3012,"西京粒味噌","さいきょうつぶみそ",1
3022,"田舎味噌","いなかみそ",1
3032,"青菜やたけのこなど","あおなやたけのこなど",1
3042,"生うどん","なまうどん",1
3052,"うどんつゆ","うどんつゆ",1
3062,"切り餅","きりもち",2
3072,"水溶き天ぷら粉","みずときてんぷらこ",1
3082,"ゆず","ゆず",2
3092,"白出汁","しろだし",2
3102,"長芋","ながいも",1
3112,"蓮根","れんこん",3
3122,"金時人参","きんときにんじん",1
3132,"ししとう","ししとう",2
3142,"貝割れ","かいわれ",4
3152,"本節","ほんせつ",1
3162,"昆布パウダー","こんぶぱうだー",1
3172,"上白糖","じょうはくとう",1
3182,"鴨肉","かもにく",1
3192,"白葱","しろねぎ",2
3202,"ハム","はむ",4
3212,"胡椒","こしょう",100
3222,"ケチャップ","けちゃっぷ",8
3232,"バター","ばたー",64
3242,"パン粉","ぱんこ",16
3252,"福神漬","ふくじんづけ",1
3262,"パセリ","ぱせり",30
3272,"マヨネーズ","まよねーず",7
3282,"牛乳","ぎゅうにゅう",47
3292,"白ワイン","しろわいん",30
3302,"牛モモ肉","ぎゅうももにく",1
3312,"ニンニク","にんにく",103
3322,"セロリ","せろり",17
3332,"ブイヨンスープ","ぶいよんすーぷ",1
3342,"オリーブオイル","おりーぶおいる",83
3352,"キャベツ","きゃべつ",9
3362,"粉マスタード","こなますたーど",8
3372,"ワインビネガー","わいんびねがー",1
3382,"粉からし","こなからし",1
3392,"こしょう","こしょう",100
3402,"マカロニ","まかろに",2
3412,"シーフードミックス","しーふーどみっくす",2
3422,"マッシュルーム","まっしゅるーむ",13
3432,"生クリーム","なまくりーむ",53
3442,"ローリエ","ろーりえ",17
3452,"パルメザンチーズ","ぱるめざんちーず",14
3462,"牛ひき肉","ぎゅうひきにく",6
3472,"マリボーチーズ","まりぼーちーず",1
3482,"ナツメグ","なつめぐ",9
3492,"溶き卵","ときたまご",3
3502,"ウスターソース","うすたーそーす",1
3512,"粒マスタード","こなますたーど",8
3522,"キャベツの葉","きゃべつのは",1
3532,"コーンスターチ","こーんすたーち",6
3542,"ベーコン","べーこん",11
3552,"トマト","とまと",40
3562,"ブイヨン","ぶいよん",8
3572,"トマトペースト","とまとぺーすと",8
3582,"ブロッコリー","ぶろっこりー",6
3592,"サワークリーム","さわーくりーむ",1
3602,"スパゲティ","すぱげてぃ",1
3612,"ピーマン","ぴーまん",11
3622,"赤ピーマン","あかぴーまん",4
3632,"むきえび","むきえび",5
3642,"黒オリーブ","くろおりーぶ",4
