"id","ingredient_id","recipe_id"
3682,1772,352
3692,82,352
3702,142,352
3712,1782,352
3722,1792,352
3732,1802,352
3742,1812,352
3752,552,352
3762,1822,352
3772,1832,352
3782,1842,362
3792,1042,362
3802,1852,362
3812,382,362
3822,1862,362
3832,452,362
3842,1872,362
3852,42,362
3862,1332,362
3872,552,362
3882,1662,362
3892,1582,372
3902,52,372
3912,42,372
3922,452,372
3932,752,372
3942,1882,372
3952,1892,372
3962,1752,372
3972,1902,372
3982,1502,382
3992,142,382
4002,382,382
4012,1532,382
4022,82,382
4032,52,382
4042,42,382
4052,892,382
4062,1912,382
4072,902,382
4082,1602,382
4092,1252,382
4102,1922,392
4112,632,392
4122,1112,392
4132,852,392
4142,1752,392
4152,212,392
4162,1932,402
4172,1942,402
4182,1952,402
4192,12,402
4202,32,402
4212,1962,402
4222,452,402
4232,142,402
4242,52,402
4252,342,402
4262,502,412
4272,32,412
4282,452,412
4292,52,412
4302,212,412
4312,1972,412
4322,1982,412
4332,982,412
4342,1962,412
4352,1992,412
4362,2002,412
4372,2012,422
4382,2022,422
4392,1762,422
4402,2032,422
4412,452,422
4422,42,422
4432,1332,422
4442,142,422
4452,1832,422
4462,2042,432
4472,302,432
4482,2052,432
4492,2062,432
4502,142,432
4512,452,432
4522,452,432
4532,42,432
4542,52,432
4552,82,432
4562,1602,432
4572,2072,432
4582,2082,432
4592,2082,432
4602,72,432
4612,2092,442
4622,812,442
4632,2102,442
4642,1162,442
4652,2112,442
4662,852,442
4672,2122,442
4682,2132,452
4692,2142,452
4702,82,452
4712,2152,452
4722,2162,452
4732,142,452
4742,1532,452
4752,2172,452
4762,2182,452
4772,2192,462
4782,12,462
4792,82,462
4802,402,462
4812,32,462
4822,102,462
4832,2202,472
4842,2212,472
4852,2222,472
4862,82,472
4872,52,472
4882,2232,472
4892,2242,482
4902,2252,482
4912,162,482
4922,142,482
4932,892,482
4942,452,482
4952,32,482
4962,142,482
4972,1332,482
4982,412,482
4992,2262,482
5002,1512,482
5012,2272,492
5022,142,492
5032,1512,492
5042,552,492
5052,382,492
5062,452,492
5072,2282,492
5082,142,492
5092,1332,492
5102,2292,502
5112,142,502
5122,1872,502
5132,452,502
5142,42,502
5152,82,502
5162,2302,502
5172,2312,502
5182,2322,512
5192,452,512
5202,402,512
5212,1332,512
5222,2162,512
5232,382,512
5242,2332,512
5252,2342,522
5262,2352,522
5272,1332,522
5282,82,522
5292,2362,522
5302,2372,532
5312,2382,532
5322,402,532
5332,452,532
5342,382,532
5352,82,532
5362,552,532
5372,872,532
5382,2392,542
5392,302,542
5402,162,542
5412,142,542
5422,172,542
5432,2402,542
5442,582,542
5452,872,542
5462,2412,542
5472,2422,542
5482,402,542
5492,42,542
5502,2432,552
5512,2442,552
5522,552,552
5532,32,552
5542,82,552
5552,42,552
5562,2452,552
5572,2462,552
5582,452,552
5592,2472,562
5602,2482,562
5612,2492,562
5622,1252,562
5632,1602,562
5642,1912,562
5652,2502,562
5662,1552,562
5672,1752,562
5682,2512,562
5692,142,562
5702,2522,562
5712,2532,562
5722,2542,562
5732,2552,572
5742,2562,572
5752,512,572
5762,752,572
5772,2572,572
5782,42,572
5792,1302,572
5802,2582,572
5812,2412,572
5822,2592,582
5832,2602,582
5842,382,582
5852,402,582
5862,752,582
5872,1752,582
5882,2612,582
5892,2622,582
5902,1912,582
5912,1242,582
5922,182,582
5932,2392,592
5942,2632,592
5952,2642,592
5962,1532,592
5972,1332,592
5982,2162,592
5992,82,592
6002,142,592
6012,1612,592
6022,212,592
6032,982,592
6042,2652,592
6052,82,592
6062,402,592
6072,2662,592
6082,32,592
6092,52,592
6102,142,592
6112,82,592
6122,2672,592
6132,2682,602
6142,342,602
6152,42,602
6162,52,602
6172,812,612
6182,2692,612
6192,2702,612
6202,1162,612
6212,2512,612
6222,1332,612
6232,402,612
6242,42,612
6252,142,612
6262,2412,612
6272,2092,622
6282,2712,622
6292,2722,622
6302,382,622
6312,12,622
6322,302,622
6332,2732,622
6342,2742,622
6352,2752,622
6362,852,622
6372,1402,622
6382,2762,622
6392,2412,622
6402,2092,632
6412,2712,632
6422,512,632
6432,382,632
6442,402,632
6452,42,632
6462,82,632
6472,852,632
6482,2752,632
6492,1402,632
